County,HospTotal,ICU,Day
Essex,0,0,1
Essex,24,3,1
Worchester,0,0,1
Franklin,7,0,1
Hampden,107,15,1
Hampden,3,0,1
Hampden,5,0,1
Berkshire,5,1,1
Norfolk,48,9,1
Norfolk,25,4,1
Plymouth,49,7,1
Suffolk,271,98,1
Essex,99,9,1
Suffolk,9,2,1
Suffolk,242,53,1
Suffolk,62,6,1
Suffolk,171,79,1
Plymouth,68,13,1
Middlesex,72,17,1
Barnstable,13,3,1
Suffolk,49,14,1
Worchester,2,0,1
Hampshire,25,8,1
Middlesex,44,6,1
Berkshire,2,0,1
Barnstable,7,2,1
Plymouth,111,14,1
Worchester,11,2,1
Worchester,22,4,1
Worchester,11,2,1
Essex,43,14,1
Hampden,37,5,1
Middlesex,145,56,1
Essex,0,0,1
Essex,59,18,1
Middlesex,82,27,1
Middlesex,19,9,1
Dukes,0,0,1
Suffolk,387,131,1
Middlesex,55,8,1
Hampden,37,6,1
Essex,0,0,1
Middlesex,59,5,1
Middlesex,12,1,1
Worchester,45,9,1
Bristol,71,14,1
Middlesex,69,12,1
Nantucket,0,0,1
Middlesex,0,0,1
Suffolk,1,0,1
Middlesex,77,17,1
Essex,112,21,1
Norfolk,52,8,1
Worchester,76,11,1
Middlesex,1,0,1
Norfolk,124,18,1
Bristol,43,15,1
Bristol,6,0,1
Suffolk,50,20,1
Bristol,94,16,1
Bristol,47,5,1
Plymouth,21,7,1
Suffolk,84,46,1
Worchester,77,21,1
Worchester,107,48,1
Middlesex,56,8,1
Essex,0,0,2
Essex,22,4,2
Worchester,0,0,2
Franklin,6,0,2
Hampden,103,16,2
Hampden,3,0,2
Hampden,6,0,2
Berkshire,4,1,2
Norfolk,45,11,2
Norfolk,18,4,2
Plymouth,59,6,2
Suffolk,242,92,2
Essex,96,8,2
Suffolk,8,2,2
Suffolk,232,55,2
Suffolk,63,8,2
Suffolk,175,75,2
Plymouth,80,12,2
Middlesex,81,21,2
Barnstable,14,4,2
Suffolk,63,15,2
Worchester,2,0,2
Hampshire,22,6,2
Middlesex,42,4,2
Berkshire,3,0,2
Barnstable,8,4,2
Plymouth,94,14,2
Worchester,10,2,2
Worchester,30,5,2
Worchester,15,0,2
Essex,56,14,2
Hampden,40,4,2
Middlesex,125,56,2
Essex,0,0,2
Essex,67,17,2
Middlesex,82,29,2
Middlesex,17,7,2
Dukes,0,0,2
Suffolk,384,122,2
Middlesex,49,7,2
Hampden,37,8,2
Essex,0,0,2
Middlesex,57,6,2
Middlesex,12,1,2
Worchester,46,8,2
Bristol,65,13,2
Middlesex,60,12,2
Nantucket,0,0,2
Middlesex,0,0,2
Suffolk,0,2,2
Middlesex,79,14,2
Essex,106,23,2
Norfolk,52,8,2
Worchester,68,14,2
Middlesex,1,0,2
Norfolk,120,16,2
Bristol,32,6,2
Bristol,11,0,2
Suffolk,39,18,2
Bristol,70,17,2
Bristol,42,6,2
Plymouth,13,3,2
Suffolk,85,44,2
Worchester,76,21,2
Worchester,104,48,2
Middlesex,60,8,2
Essex,0,0,3
Essex,25,5,3
Worchester,0,0,3
Franklin,3,0,3
Hampden,100,12,3
Hampden,3,0,3
Hampden,4,0,3
Berkshire,5,2,3
Norfolk,35,7,3
Norfolk,20,4,3
Plymouth,62,5,3
Suffolk,273,90,3
Essex,100,8,3
Suffolk,9,2,3
Suffolk,232,57,3
Suffolk,58,9,3
Suffolk,170,69,3
Plymouth,80,12,3
Middlesex,82,21,3
Barnstable,14,4,3
Suffolk,66,15,3
Worchester,2,0,3
Hampshire,29,5,3
Middlesex,42,4,3
Berkshire,3,0,3
Barnstable,5,2,3
Plymouth,75,14,3
Worchester,10,2,3
Worchester,28,5,3
Worchester,7,0,3
Essex,59,20,3
Hampden,37,3,3
Middlesex,130,52,3
Essex,0,0,3
Essex,70,19,3
Middlesex,82,22,3
Middlesex,22,10,3
Dukes,0,0,3
Suffolk,355,119,3
Middlesex,49,9,3
Hampden,36,8,3
Essex,0,0,3
Middlesex,57,7,3
Middlesex,13,2,3
Worchester,39,6,3
Bristol,70,14,3
Middlesex,73,12,3
Nantucket,0,0,3
Middlesex,0,0,3
Suffolk,0,2,3
Middlesex,76,13,3
Essex,106,27,3
Norfolk,53,7,3
Worchester,76,12,3
Middlesex,0,0,3
Norfolk,108,13,3
Bristol,40,10,3
Bristol,13,0,3
Suffolk,50,20,3
Bristol,73,15,3
Bristol,40,4,3
Plymouth,17,4,3
Suffolk,85,45,3
Worchester,84,21,3
Worchester,102,48,3
Middlesex,60,6,3
Essex,0,0,4
Essex,19,4,4
Worchester,0,0,4
Franklin,7,1,4
Hampden,91,15,4
Hampden,3,0,4
Hampden,9,0,4
Berkshire,4,2,4
Norfolk,44,6,4
Norfolk,22,3,4
Plymouth,66,2,4
Suffolk,258,86,4
Essex,91,8,4
Suffolk,5,2,4
Suffolk,227,54,4
Suffolk,53,6,4
Suffolk,155,71,4
Plymouth,72,13,4
Middlesex,66,22,4
Barnstable,16,4,4
Suffolk,66,15,4
Worchester,1,0,4
Hampshire,24,6,4
Middlesex,38,3,4
Berkshire,3,0,4
Barnstable,5,2,4
Plymouth,80,11,4
Worchester,9,2,4
Worchester,24,3,4
Worchester,11,0,4
Essex,67,25,4
Hampden,37,3,4
Middlesex,127,50,4
Essex,0,0,4
Essex,60,20,4
Middlesex,81,21,4
Middlesex,21,10,4
Dukes,0,0,4
Suffolk,360,125,4
Middlesex,51,10,4
Hampden,35,11,4
Essex,0,0,4
Middlesex,58,7,4
Middlesex,15,2,4
Worchester,44,8,4
Bristol,75,12,4
Middlesex,67,10,4
Nantucket,0,0,4
Middlesex,0,0,4
Suffolk,0,2,4
Middlesex,77,13,4
Essex,122,28,4
Norfolk,42,7,4
Worchester,66,14,4
Middlesex,0,0,4
Norfolk,101,10,4
Bristol,44,9,4
Bristol,13,0,4
Suffolk,48,20,4
Bristol,59,16,4
Bristol,40,4,4
Plymouth,20,5,4
Suffolk,95,51,4
Worchester,77,18,4
Worchester,107,50,4
Middlesex,61,6,4
Essex,1,1,5
Essex,14,3,5
Worchester,0,0,5
Franklin,7,1,5
Hampden,95,14,5
Hampden,5,0,5
Hampden,8,0,5
Berkshire,4,2,5
Norfolk,52,7,5
Norfolk,20,3,5
Plymouth,64,4,5
Suffolk,226,81,5
Essex,94,9,5
Suffolk,5,2,5
Suffolk,233,53,5
Suffolk,53,5,5
Suffolk,163,68,5
Plymouth,82,13,5
Middlesex,64,21,5
Barnstable,18,4,5
Suffolk,63,14,5
Worchester,0,0,5
Hampshire,16,5,5
Middlesex,44,6,5
Berkshire,3,0,5
Barnstable,5,1,5
Plymouth,80,11,5
Worchester,6,2,5
Worchester,26,5,5
Worchester,12,0,5
Essex,68,24,5
Hampden,39,5,5
Middlesex,127,53,5
Essex,0,0,5
Essex,62,18,5
Middlesex,82,22,5
Middlesex,24,12,5
Dukes,2,1,5
Suffolk,371,130,5
Middlesex,58,8,5
Hampden,38,14,5
Essex,0,0,5
Middlesex,44,16,5
Middlesex,11,1,5
Worchester,44,8,5
Bristol,76,12,5
Middlesex,69,9,5
Nantucket,0,0,5
Middlesex,0,0,5
Suffolk,0,0,5
Middlesex,74,15,5
Essex,125,25,5
Norfolk,41,10,5
Worchester,71,16,5
Middlesex,0,0,5
Norfolk,114,13,5
Bristol,48,13,5
Bristol,10,0,5
Suffolk,49,19,5
Bristol,73,13,5
Bristol,34,5,5
Plymouth,15,2,5
Suffolk,87,43,5
Worchester,74,19,5
Worchester,94,47,5
Middlesex,55,6,5
Essex,1,0,6
Essex,18,4,6
Worchester,0,0,6
Franklin,8,1,6
Hampden,90,14,6
Hampden,5,0,6
Hampden,8,0,6
Berkshire,5,2,6
Norfolk,46,6,6
Norfolk,21,3,6
Plymouth,70,7,6
Suffolk,248,80,6
Essex,99,10,6
Suffolk,8,1,6
Suffolk,238,57,6
Suffolk,46,5,6
Suffolk,150,60,6
Plymouth,82,20,6
Middlesex,66,19,6
Barnstable,24,4,6
Suffolk,52,14,6
Worchester,1,0,6
Hampshire,19,5,6
Middlesex,45,7,6
Berkshire,2,0,6
Barnstable,5,1,6
Plymouth,75,11,6
Worchester,6,2,6
Worchester,30,8,6
Worchester,4,0,6
Essex,69,23,6
Hampden,34,2,6
Middlesex,139,51,6
Essex,0,0,6
Essex,60,14,6
Middlesex,88,23,6
Middlesex,21,11,6
Dukes,1,1,6
Suffolk,381,125,6
Middlesex,52,10,6
Hampden,35,11,6
Essex,0,0,6
Middlesex,55,17,6
Middlesex,11,1,6
Worchester,41,7,6
Bristol,69,12,6
Middlesex,68,10,6
Nantucket,0,0,6
Middlesex,0,0,6
Suffolk,0,0,6
Middlesex,73,17,6
Essex,102,27,6
Norfolk,46,9,6
Worchester,71,17,6
Middlesex,0,0,6
Norfolk,99,14,6
Bristol,52,12,6
Bristol,12,0,6
Suffolk,53,21,6
Bristol,78,12,6
Bristol,41,8,6
Plymouth,14,3,6
Suffolk,78,47,6
Worchester,75,20,6
Worchester,97,48,6
Middlesex,72,8,6
Essex,0,0,7
Essex,17,4,7
Worchester,0,0,7
Franklin,8,1,7
Hampden,96,12,7
Hampden,5,0,7
Hampden,5,0,7
Berkshire,3,1,7
Norfolk,36,6,7
Norfolk,16,3,7
Plymouth,74,9,7
Suffolk,237,79,7
Essex,87,7,7
Suffolk,12,2,7
Suffolk,237,58,7
Suffolk,54,5,7
Suffolk,145,56,7
Plymouth,76,13,7
Middlesex,66,14,7
Barnstable,21,4,7
Suffolk,57,13,7
Worchester,2,0,7
Hampshire,17,5,7
Middlesex,48,7,7
Berkshire,3,1,7
Barnstable,5,2,7
Plymouth,72,11,7
Worchester,5,2,7
Worchester,14,4,7
Worchester,5,0,7
Essex,67,22,7
Hampden,34,3,7
Middlesex,138,56,7
Essex,0,0,7
Essex,52,15,7
Middlesex,101,24,7
Middlesex,23,11,7
Dukes,0,0,7
Suffolk,344,112,7
Middlesex,51,8,7
Hampden,42,11,7
Essex,0,0,7
Middlesex,51,6,7
Middlesex,8,1,7
Worchester,39,8,7
Bristol,63,11,7
Middlesex,62,6,7
Nantucket,0,0,7
Middlesex,0,0,7
Suffolk,0,0,7
Middlesex,68,12,7
Essex,97,26,7
Norfolk,47,6,7
Worchester,73,15,7
Middlesex,0,0,7
Norfolk,98,9,7
Bristol,44,9,7
Bristol,12,0,7
Suffolk,56,21,7
Bristol,72,14,7
Bristol,41,8,7
Plymouth,15,3,7
Suffolk,76,41,7
Worchester,74,18,7
Worchester,98,49,7
Middlesex,62,8,7
Essex,0,0,8
Essex,19,4,8
Worchester,0,0,8
Franklin,3,0,8
Hampden,95,12,8
Hampden,3,0,8
Hampden,6,0,8
Berkshire,8,2,8
Norfolk,27,6,8
Norfolk,24,4,8
Plymouth,66,6,8
Suffolk,233,76,8
Essex,87,8,8
Suffolk,20,3,8
Suffolk,219,53,8
Suffolk,45,5,8
Suffolk,137,55,8
Plymouth,77,13,8
Middlesex,66,13,8
Barnstable,19,6,8
Suffolk,52,12,8
Worchester,0,0,8
Hampshire,20,3,8
Middlesex,44,5,8
Berkshire,3,1,8
Barnstable,3,0,8
Plymouth,68,11,8
Worchester,5,1,8
Worchester,22,3,8
Worchester,2,0,8
Essex,68,21,8
Hampden,29,3,8
Middlesex,110,49,8
Essex,0,0,8
Essex,71,16,8
Middlesex,87,24,8
Middlesex,26,11,8
Dukes,0,0,8
Suffolk,328,110,8
Middlesex,55,9,8
Hampden,35,11,8
Essex,0,0,8
Middlesex,52,4,8
Middlesex,6,1,8
Worchester,41,7,8
Bristol,54,8,8
Middlesex,60,9,8
Nantucket,0,0,8
Middlesex,0,0,8
Suffolk,0,0,8
Middlesex,74,10,8
Essex,103,24,8
Norfolk,42,5,8
Worchester,73,15,8
Middlesex,0,0,8
Norfolk,97,14,8
Bristol,48,13,8
Bristol,12,0,8
Suffolk,44,20,8
Bristol,81,15,8
Bristol,33,5,8
Plymouth,26,4,8
Suffolk,68,39,8
Worchester,91,22,8
Worchester,96,49,8
Middlesex,60,6,8
Essex,0,0,9
Essex,17,3,9
Worchester,0,0,9
Franklin,4,1,9
Hampden,85,14,9
Hampden,3,0,9
Hampden,7,0,9
Berkshire,5,2,9
Norfolk,40,6,9
Norfolk,22,5,9
Plymouth,73,5,9
Suffolk,230,76,9
Essex,81,8,9
Suffolk,8,2,9
Suffolk,181,46,9
Suffolk,51,7,9
Suffolk,130,57,9
Plymouth,76,13,9
Middlesex,66,14,9
Barnstable,21,6,9
Suffolk,47,9,9
Worchester,1,0,9
Hampshire,20,2,9
Middlesex,50,6,9
Berkshire,3,1,9
Barnstable,6,1,9
Plymouth,77,11,9
Worchester,5,1,9
Worchester,23,5,9
Worchester,5,0,9
Essex,61,22,9
Hampden,29,3,9
Middlesex,116,50,9
Essex,0,0,9
Essex,71,17,9
Middlesex,88,25,9
Middlesex,25,11,9
Dukes,0,0,9
Suffolk,322,101,9
Middlesex,50,8,9
Hampden,35,9,9
Essex,0,0,9
Middlesex,48,14,9
Middlesex,7,1,9
Worchester,38,6,9
Bristol,47,6,9
Middlesex,58,9,9
Nantucket,0,0,9
Middlesex,0,0,9
Suffolk,0,0,9
Middlesex,73,11,9
Essex,98,21,9
Norfolk,37,3,9
Worchester,67,17,9
Middlesex,0,0,9
Norfolk,80,12,9
Bristol,72,15,9
Bristol,4,0,9
Suffolk,37,18,9
Bristol,76,16,9
Bristol,38,3,9
Plymouth,19,3,9
Suffolk,60,38,9
Worchester,79,22,9
Worchester,95,46,9
Middlesex,57,6,9
Essex,0,0,10
Essex,15,5,10
Worchester,0,0,10
Franklin,5,1,10
Hampden,82,16,10
Hampden,3,0,10
Hampden,9,0,10
Berkshire,2,2,10
Norfolk,38,6,10
Norfolk,20,5,10
Plymouth,70,6,10
Suffolk,197,74,10
Essex,81,8,10
Suffolk,9,1,10
Suffolk,188,43,10
Suffolk,48,6,10
Suffolk,139,62,10
Plymouth,76,13,10
Middlesex,66,12,10
Barnstable,18,6,10
Suffolk,43,12,10
Worchester,0,0,10
Hampshire,22,4,10
Middlesex,52,5,10
Berkshire,3,0,10
Barnstable,7,0,10
Plymouth,77,11,10
Worchester,5,1,10
Worchester,25,6,10
Worchester,4,1,10
Essex,58,21,10
Hampden,23,3,10
Middlesex,115,55,10
Essex,0,0,10
Essex,66,15,10
Middlesex,81,29,10
Middlesex,25,12,10
Dukes,0,0,10
Suffolk,315,90,10
Middlesex,38,8,10
Hampden,35,10,10
Essex,0,0,10
Middlesex,52,13,10
Middlesex,14,1,10
Worchester,39,8,10
Bristol,47,6,10
Middlesex,50,8,10
Nantucket,0,0,10
Middlesex,0,0,10
Suffolk,0,0,10
Middlesex,66,11,10
Essex,92,19,10
Norfolk,36,3,10
Worchester,58,14,10
Middlesex,0,0,10
Norfolk,81,15,10
Bristol,63,14,10
Bristol,4,0,10
Suffolk,40,19,10
Bristol,76,15,10
Bristol,39,4,10
Plymouth,22,3,10
Suffolk,58,34,10
Worchester,77,19,10
Worchester,102,48,10
Middlesex,47,7,10
Essex,0,0,11
Essex,18,5,11
Worchester,0,0,11
Franklin,4,0,11
Hampden,80,18,11
Hampden,3,0,11
Hampden,10,0,11
Berkshire,2,2,11
Norfolk,39,6,11
Norfolk,20,2,11
Plymouth,76,7,11
Suffolk,184,72,11
Essex,77,8,11
Suffolk,6,1,11
Suffolk,170,40,11
Suffolk,52,4,11
Suffolk,149,66,11
Plymouth,77,11,11
Middlesex,64,13,11
Barnstable,21,6,11
Suffolk,43,12,11
Worchester,0,0,11
Hampshire,17,5,11
Middlesex,51,6,11
Berkshire,2,0,11
Barnstable,5,1,11
Plymouth,87,11,11
Worchester,6,2,11
Worchester,24,7,11
Worchester,2,0,11
Essex,55,22,11
Hampden,15,3,11
Middlesex,109,51,11
Essex,0,0,11
Essex,64,15,11
Middlesex,80,29,11
Middlesex,23,11,11
Dukes,0,0,11
Suffolk,299,92,11
Middlesex,38,6,11
Hampden,33,10,11
Essex,0,0,11
Middlesex,48,16,11
Middlesex,12,3,11
Worchester,39,7,11
Bristol,48,7,11
Middlesex,40,7,11
Nantucket,0,0,11
Middlesex,0,0,11
Suffolk,0,0,11
Middlesex,69,13,11
Essex,102,17,11
Norfolk,37,5,11
Worchester,60,15,11
Middlesex,0,0,11
Norfolk,82,14,11
Bristol,70,17,11
Bristol,4,0,11
Suffolk,41,20,11
Bristol,88,13,11
Bristol,49,4,11
Plymouth,18,3,11
Suffolk,48,34,11
Worchester,85,20,11
Worchester,107,49,11
Middlesex,44,5,11
Essex,0,0,12
Essex,15,6,12
Worchester,0,0,12
Franklin,5,0,12
Hampden,101,19,12
Hampden,3,0,12
Hampden,6,0,12
Berkshire,5,4,12
Norfolk,47,6,12
Norfolk,18,3,12
Plymouth,70,8,12
Suffolk,189,67,12
Essex,69,7,12
Suffolk,6,1,12
Suffolk,156,40,12
Suffolk,47,6,12
Suffolk,169,64,12
Plymouth,54,16,12
Middlesex,70,13,12
Barnstable,24,5,12
Suffolk,38,12,12
Worchester,2,0,12
Hampshire,21,5,12
Middlesex,45,7,12
Berkshire,2,0,12
Barnstable,2,1,12
Plymouth,78,11,12
Worchester,6,2,12
Worchester,21,7,12
Worchester,4,1,12
Essex,55,16,12
Hampden,19,4,12
Middlesex,109,46,12
Essex,0,0,12
Essex,66,15,12
Middlesex,84,28,12
Middlesex,26,11,12
Dukes,1,0,12
Suffolk,297,95,12
Middlesex,40,5,12
Hampden,29,10,12
Essex,0,0,12
Middlesex,56,15,12
Middlesex,15,3,12
Worchester,33,7,12
Bristol,51,7,12
Middlesex,33,6,12
